Sales ID,Count,Open Date,Year,Month,Month Order,Days to Make Sale,Car ID,Dealer ID,Temperature (F),Temperature Category,Weather Condition,Humidity (%),Wind Speed (mph),Wind Gust (mph),Wind Direction,Visibility (mi),Wind Chill (F),Precipitation (in),Fog (Y/N),Rain (Y/N),Snow (Y/N)
602577,1,31-Dec-2025,2025,Dec,12,1,99110,1301,33.1,31-40,Light Rain,96,3.5,,ENE,0.5,30,0.02,N,Y,N
602576,1,31-Dec-2025,2025,Dec,12,1,132120,1215,33.1,31-40,Clear,100,11.5,,SE,7,24.4,0,N,N,N
602575,1,31-Dec-2025,2025,Dec,12,1,132120,1288,33.8,31-40,Rain,93,9.2,,WNW,0.5,26.4,0.03,N,Y,N
602574,1,31-Dec-2025,2025,Dec,12,1,87110,1336,39.9,31-40,Overcast,60,12.7,,West,10,32.5,0,N,N,N
602573,1,31-Dec-2025,2025,Dec,12,1,87110,1336,,,Clear,,,,,7,,0,N,N,N
602572,1,31-Dec-2025,2025,Dec,12,1,87110,1336,,,Clear,,,,,7,,0,N,N,N
602571,1,31-Dec-2025,2025,Dec,12,1,87110,1288,,,Clear,,,,,7,,0,N,N,N
602570,1,31-Dec-2025,2025,Dec,12,1,99110,1224,,,Clear,,,,,7,,0,N,N,N
602569,1,31-Dec-2025,2025,Dec,12,1,87110,1336,41,41-50,Scattered Clouds,60,11.5,,West,10,34.3,0,N,N,N
602568,1,31-Dec-2025,2025,Dec,12,6,99110,1288,42.1,41-50,Overcast,58,12.7,,West,10,35.2,0,N,N,N
602567,1,31-Dec-2025,2025,Dec,12,1,99110,1224,37,31-40,Clear,70,11.5,20.7,West,7,29.3,0,N,N,N
602565,1,31-Dec-2025,2025,Dec,12,8,132120,1301,37,31-40,Clear,70,11.5,20.7,West,7,29.3,0,N,N,N
602566,1,31-Dec-2025,2025,Dec,12,1,87110,1401,42.1,41-50,Overcast,58,12.7,,West,10,35.2,0,N,N,N
602564,1,31-Dec-2025,2025,Dec,12,1,87110,1336,42.1,41-50,Overcast,58,12.7,,West,10,35.2,0,N,N,N
602563,1,31-Dec-2025,2025,Dec,12,8,99110,1224,42.1,41-50,Overcast,60,12.7,,West,10,35.2,0,N,N,N
602562,1,31-Dec-2025,2025,Dec,12,1,99110,1224,37,31-40,Clear,73,13.8,21.9,WNW,7,28.5,0,N,N,N
602561,1,31-Dec-2025,2025,Dec,12,1,99110,1224,,,Clear,,,,,7,,0,N,N,N
602560,1,31-Dec-2025,2025,Dec,12,2,87110,1401,,,Clear,,,,,7,,0,N,N,N
602559,1,31-Dec-2025,2025,Dec,12,1,99110,1224,37,31-40,Clear,79,10.4,19.6,WNW,7,29.8,0,N,N,N
602558,1,31-Dec-2025,2025,Dec,12,4,147160,1288,37,31-40,Clear,79,10.4,19.6,WNW,7,29.8,0,N,N,N
602557,1,31-Dec-2025,2025,Dec,12,27,147160,1401,43,41-50,Overcast,65,10.4,,WNW,10,37.2,0,N,N,N
602556,1,31-Dec-2025,2025,Dec,12,4,87110,1215,,,Clear,,,,,7,,0,N,N,N
602555,1,31-Dec-2025,2025,Dec,12,4,87110,1288,39.9,31-40,Clear,73,16.1,24.2,WNW,7,31.4,0,N,N,N
602554,1,31-Dec-2025,2025,Dec,12,4,99110,1336,45,41-50,Scattered Clouds,63,13.8,,West,10,38.5,0,N,N,N
602553,1,31-Dec-2025,2025,Dec,12,12,147160,1301,39.9,31-40,Clear,73,16.1,24.2,WNW,7,31.4,0,N,N,N
602552,1,31-Dec-2025,2025,Dec,12,2,99110,1224,45,41-50,Scattered Clouds,63,13.8,,West,10,38.5,0,N,N,N
602551,1,31-Dec-2025,2025,Dec,12,1,132120,1217,39.9,31-40,Clear,73,16.1,24.2,WNW,7,31.4,0,N,N,N
602550,1,31-Dec-2025,2025,Dec,12,1,99110,1224,45,41-50,Scattered Clouds,63,13.8,,West,10,38.5,0,N,N,N
602549,1,31-Dec-2025,2025,Dec,12,1,99110,1336,44.6,41-50,Scattered Clouds,66,10.4,,West,10,39.2,0,N,N,N
602548,1,31-Dec-2025,2025,Dec,12,19,132120,1336,44.6,41-50,Scattered Clouds,66,10.4,,West,10,39.2,0,N,N,N
602547,1,31-Dec-2025,2025,Dec,12,1,99110,1224,45,41-50,Overcast,68,9.2,,WNW,10,40.1,0,N,N,N
602546,1,31-Dec-2025,2025,Dec,12,5,99110,1288,39.9,31-40,Clear,77,16.1,21.9,WNW,7,31.4,0,N,N,N
602545,1,31-Dec-2025,2025,Dec,12,1,99110,1288,39.9,31-40,Clear,77,16.1,21.9,WNW,7,31.4,0,N,N,N
602543,1,31-Dec-2025,2025,Dec,12,1,99110,1301,45,41-50,Overcast,68,9.2,,WNW,10,40.1,0,N,N,N
602544,1,31-Dec-2025,2025,Dec,12,1,99110,1288,45,41-50,Overcast,68,9.2,,WNW,10,40.1,0,N,N,N
602542,1,31-Dec-2025,2025,Dec,12,1,99110,1401,44.6,41-50,Overcast,71,11.5,,NW,10,38.8,0,N,N,N
602541,1,31-Dec-2025,2025,Dec,12,7,26151,1402,44.6,41-50,Overcast,71,11.5,,NW,10,38.8,0,N,N,N
602539,1,31-Dec-2025,2025,Dec,12,4,99110,1301,42.1,41-50,Clear,79,12.7,,WNW,7,35.2,0,N,N,N
602540,1,31-Dec-2025,2025,Dec,12,1,99110,1224,42.1,41-50,Clear,79,12.7,,WNW,7,35.2,0,N,N,N
602538,1,31-Dec-2025,2025,Dec,12,13,87110,1336,46,41-50,Scattered Clouds,71,15,,WNW,10,39.6,0,N,N,N
602536,1,31-Dec-2025,2025,Dec,12,4,26151,1336,46,41-50,Scattered Clouds,71,15,,WNW,10,39.6,0,N,N,N
602537,1,31-Dec-2025,2025,Dec,12,1,99110,1336,,,Clear,,,,,7,,0,N,N,N
602535,1,31-Dec-2025,2025,Dec,12,6,99110,1215,46,41-50,Scattered Clouds,71,15,,WNW,10,39.6,0,N,N,N
602534,1,31-Dec-2025,2025,Dec,12,8,99110,1224,42.1,41-50,Clear,79,12.7,,WNW,7,35.2,0,N,N,N
602533,1,31-Dec-2025,2025,Dec,12,1,99110,1224,42.1,41-50,Clear,79,12.7,,WNW,7,35.2,0,N,N,N
602532,1,31-Dec-2025,2025,Dec,12,12,99110,1301,,,Clear,,,,,7,,0,N,N,N
602531,1,31-Dec-2025,2025,Dec,12,4,99110,1224,42.1,41-50,Clear,82,10.4,18.4,WNW,7,36.1,0,N,N,N
602530,1,31-Dec-2025,2025,Dec,12,1,87110,1217,42.1,41-50,Clear,82,10.4,18.4,WNW,7,36.1,0,N,N,N
602529,1,31-Dec-2025,2025,Dec,12,5,87110,1215,,,Clear,,,,,7,,0,N,N,N
602528,1,31-Dec-2025,2025,Dec,12,6,99110,1288,42.1,41-50,Clear,82,10.4,18.4,WNW,7,36.1,0,N,N,N
602527,1,31-Dec-2025,2025,Dec,12,12,99110,1288,,,Clear,,,,,7,,0,N,N,N
602526,1,31-Dec-2025,2025,Dec,12,1,99110,1301,42.1,41-50,Scattered Clouds,82,9.2,,West,10,36.6,0,N,N,N
602525,1,31-Dec-2025,2025,Dec,12,5,99110,1212,42.1,41-50,Scattered Clouds,82,9.2,,West,10,36.6,0,N,N,N
602523,1,31-Dec-2025,2025,Dec,12,4,132120,1222,,,Clear,,,,,7,,0,N,N,N
602524,1,31-Dec-2025,2025,Dec,12,8,132120,1215,42.1,41-50,Scattered Clouds,82,9.2,,West,10,36.6,0,N,N,N
602522,1,31-Dec-2025,2025,Dec,12,2,87110,1402,,,Clear,,,,,7,,0,N,N,N
602521,1,31-Dec-2025,2025,Dec,12,1,99110,1401,42.1,41-50,Scattered Clouds,82,9.2,,West,10,36.6,0,N,N,N
602520,1,31-Dec-2025,2025,Dec,12,1,99110,1217,37.9,31-40,Clear,97,11.5,,NW,7,30.5,0,N,N,N
602519,1,31-Dec-2025,2025,Dec,12,1,132120,1212,42.1,41-50,Scattered Clouds,82,9.2,,West,10,36.6,0,N,N,N
602518,1,31-Dec-2025,2025,Dec,12,1,87110,1336,42.1,41-50,Scattered Clouds,82,9.2,,West,10,36.6,0,N,N,N
602517,1,31-Dec-2025,2025,Dec,12,5,99110,1288,,,Clear,,,,,7,,0,N,N,N
602516,1,31-Dec-2025,2025,Dec,12,1,132120,1217,36,31-40,Clear,100,10.4,,WNW,7,28.5,0,N,N,N
602515,1,31-Dec-2025,2025,Dec,12,2,87110,1402,,,Clear,,,,,7,,0,N,N,N
602514,1,31-Dec-2025,2025,Dec,12,1,99110,1222,39,31-40,Scattered Clouds,93,6.9,,WNW,8,34,0,N,N,N
